lookup_id,sku_brand,fill_style_id,fill_style_name,fill_style_name_grouping,fill_sku_shopify,fill_barcode
154244,GBSS235T-I1110-6,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154245,GBSS235T-I1110-8,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154246,GBSS235T-I1110-10,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154247,GBSS235T-I1110-12,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154248,GBSS235T-I1110-14,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154249,GBSS235T-I1110-15,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154250,GBSS235T-I1110-16,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154251,GBSS235T-I1110-18,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154252,GBSS235T-I1110-20,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154253,GBSS235T-I1110-22,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154254,GBSS235T-I1110-24,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154255,GBSS235T-I1110-26,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154256,GBSS235T-I1110-28,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154257,GBSS235T-I1110-30,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154258,GBSS235T-I1110-32,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154145,GCLB014001T-I1150-00,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383782995,197217945559
154146,GCLB014001T-I1150-0,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904384077907,197217945542
154147,GCLB014001T-I1150-2,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383815763,197217945627
154148,GCLB014001T-I1150-4,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383717459,197217945702
154149,GCLB014001T-I1150-6,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383848531,197217945719
154150,GCLB014001T-I1150-8,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383750227,197217945726
154151,GCLB014001T-I1150-10,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383881299,197217945566
154152,GCLB014001T-I1150-12,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904384110675,197217945573
154153,GCLB014001T-I1150-14,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383914067,197217945580
154154,GCLB014001T-I1150-15,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383586387,197217945597
154155,GCLB014001T-I1150-16,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383946835,197217945603
154156,GCLB014001T-I1150-18,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383619155,197217945610
154157,GCLB014001T-I1150-20,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383979603,197217945634
154158,GCLB014001T-I1150-22,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383684691,197217945641
154159,GCLB014001T-I1150-24,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904384012371,197217945658
154160,GCLB014001T-I1150-26,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383651923,197217945665
154161,GCLB014001T-I1150-28,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904384045139,197217945672
154162,GCLB014001T-I1150-30,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383520851,197217945689
154163,GCLB014001T-I1150-32,7652519805011,COMPRESSION GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,42904383553619,197217945696
152635,GLF014-I1229-00,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244191315,197217905843
152636,GLF014-I1229-0,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244158547,197217905836
152637,GLF014-I1229-2,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244355155,197217905911
152638,GLF014-I1229-4,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244322387,197217905997
152639,GLF014-I1229-6,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244289619,197217906000
152640,GLF014-I1229-8,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244256851,197217906017
152641,GLF014-I1229-10,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244060243,197217905850
152642,GLF014-I1229-12,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904142348371,197217905867
152643,GLF014-I1229-14,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904142315603,197217905874
152644,GLF014-I1229-15,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904142282835,197217905881
152645,GLF014-I1229-16,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244486227,197217905898
152646,GLF014-I1229-18,7652496965715,COMPRESSION GOOD LEGS FLARE JEANS,Good Legs Flare,42904244453459,197217905904
